16.4119530351063;48.2111867585169;0,16.4119418265935;48.2112439013861;0,16.4118986938344;48.2112939389248;0,16.4118300416934;48.211329165352;0,16.4117463781513;48.2113441766137;0,16.4116605129371;48.2113366709829;0,16.4115854559317;48.2113078493606;0,16.4115327158759;48.2112621150502;0,16.4115101987743;48.211206373232;0,16.4115214072871;48.2111492303628;0,16.4115646401222;48.2110991928241;0,16.4116331921872;48.2110639663968;0,16.4117168557292;48.2110489551352;0,16.4118027209434;48.211056460766;0,16.4118777779488;48.2110852823883;0,16.4119306180807;48.2111310166987;0,16.4119530351063;48.2111867585169;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4119691473435;48.2108217847094;0,16.4119560373865;48.2108713218728;0,16.4119154065276;48.2109136536305;0,16.4118535595551;48.2109424752528;0,16.4117799036138;48.2109532833612;0,16.4117056472164;48.2109444767544;0,16.4116420989518;48.2109174564835;0,16.4115988661167;48.2108762255515;0,16.4115826538035;48.2108271887636;0,16.4115958638365;48.2107777516753;0,16.4116363946194;48.2107353198425;0,16.4116982415919;48.2107065982953;0,16.4117718975332;48.2106956901118;0,16.4118461539306;48.2107044967187;0,16.4119097021952;48.2107315169896;0,16.4119529350303;48.2107727479215;0,16.4119691473435;48.2108217847094;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4127263224142;48.2122032210784;0,16.4128643272282;48.2123153051652;0,16.4130442638892;48.212216931364;0,16.412903256795;48.2121025455505;0,16.4128276994095;48.2121439766326;0,16.4126053305215;48.2119594381898;0,16.4124281959887;48.2120542092881;0,16.412654167613;48.2122417499832;0,16.4127263224142;48.2122032210784;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4112336887663;48.2112994430541;0,16.4113218557286;48.2113082496609;0,16.4113982137222;48.2113388726346;0,16.41145115393;48.2113867085216;0,16.4114725701955;48.2114443517662;0,16.4114593601626;48.2115029957616;0,16.4114133251993;48.211553933976;0,16.4113416707781;48.2115891604032;0,16.4112552051078;48.2116034711393;0,16.4111670381454;48.2115946645325;0,16.4110906801519;48.2115640415588;0,16.4110377399441;48.2115162056718;0,16.4110163236785;48.2114586625023;0,16.4110295337115;48.2113999184318;0,16.4110754685988;48.2113489802174;0,16.411147223096;48.2113137537901;0,16.4112336887663;48.2112994430541;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4107559259077;48.2109989175965;0,16.4107413148107;48.2110496556608;0,16.4106986824316;48.2110927880191;0,16.4106345337109;48.2111217097165;0,16.4105585760214;48.2111322175996;0,16.4104825182559;48.2111224102421;0,16.4104177690793;48.2110939889201;0,16.4103742360161;48.211051256862;0,16.410358624159;48.2110007189479;0,16.410373235256;48.2109499808836;0,16.4104158676351;48.2109068485252;0,16.4104800163558;48.2108778267528;0,16.4105559740453;48.2108674189447;0,16.4106320318108;48.2108771262272;0,16.4106967809874;48.2109055475492;0,16.4107403140506;48.2109482796073;0,16.4107559259077;48.2109989175965;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.411077970499;48.211252908143;0,16.4110648605421;48.2113041465827;0,16.411023228923;48.2113481796168;0,16.4109594805064;48.21137820214;0,16.4108834227409;48.2113897107739;0,16.4108064642914;48.2113810042422;0,16.4107404141266;48.2113532834457;0,16.4106953799233;48.2113107515378;0,16.4106780667741;48.2112601135486;0,16.410691276807;48.2112087750339;0,16.41073280835;48.2111647419998;0,16.4107965567667;48.2111347194766;0,16.4108727146082;48.2111232108427;0,16.4109495729817;48.2111320174495;0,16.4110156231465;48.2111597382459;0,16.4110607574258;48.2112021700788;0,16.411077970499;48.211252908143;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4119611412629;48.211825337586;0,16.4121329717673;48.2119737489259;0,16.4122033252004;48.2119376218229;0,16.4123275195254;48.2120480046333;0,16.4125134607468;48.2119550348864;0,16.4123846629255;48.2118405489978;0,16.4123197135968;48.2118729733229;0,16.4121513857526;48.2117275642353;0,16.4119611412629;48.211825337586;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4134243525647;48.212220734217;0,16.4133266783816;48.2121375718276;0,16.4131368341959;48.2122367462294;0,16.4133112666765;48.2123851575692;0,16.4134256535528;48.2123255128231;0,16.4135194247716;48.2124054728099;0,16.4136608321698;48.212331917628;0,16.4134903026535;48.2121864084654;0,16.4134243525647;48.212220734217;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4114940865371;48.2119147046302;0,16.4121087533735;48.2115820550727;0,16.4119583391347;48.2114586625023;0,16.4119604407308;48.2114575616764;0,16.4118591638115;48.2113763007135;0,16.4116041701451;48.2115176067229;0,16.4116820292787;48.2115800535712;0,16.4113229565647;48.2117743993716;0,16.4114940865371;48.2119147046302;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4115719456707;48.2105857076017;0,16.4115589357898;48.2106363455909;0,16.4115179046268;48.2106796780995;0,16.4114550568943;48.2107094003974;0,16.4113799998888;48.2107208089563;0,16.4113040421994;48.2107121024245;0,16.4112388927186;48.2106847819284;0,16.4111943588954;48.210642950546;0,16.4111773459742;48.2105929130073;0,16.4111902557791;48.2105422750181;0,16.4112312869421;48.2104988424345;0,16.4112941346746;48.2104692202116;0,16.4113692917561;48.2104578116528;0,16.4114451493696;48.2104664181094;0,16.4115102988503;48.2104938386806;0,16.4115548326735;48.210535670063;0,16.4115719456707;48.2105857076017;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4112659132406;48.210878126978;0,16.4112510019155;48.2109316671445;0,16.4112064680923;48.2109774014548;0,16.4111391169394;48.2110082245787;0,16.4110592562857;48.2110194329874;0,16.4109788952518;48.2110095255547;0,16.4109103431869;48.2109799033318;0,16.4108641080715;48.210934969622;0,16.4108471952263;48.2108817296808;0,16.4108621065514;48.2108281895144;0,16.4109066403746;48.2107825552791;0,16.4109738914515;48.2107517321552;0,16.4110538521813;48.2107404236715;0,16.4111342132151;48.2107503311041;0,16.411202665204;48.2107800534021;0,16.4112489003194;48.2108248870368;0,16.4112659132406;48.210878126978;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4120577146099;48.2121079496047;0,16.4118394488381;48.2122224354933;0,16.4126098339418;48.2128748249231;0,16.4126534670809;48.2128519077304;0,16.412654467841;48.212852708331;0,16.4132852469146;48.212521860125;0,16.4131153178543;48.2123780522387;0,16.4126592714894;48.2126173317489;0,16.4120577146099;48.2121079496047;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4159792930295;48.213315255339;0,16.4165368164658;48.2129127533775;0,16.4164718671371;48.2128741243976;0,16.4165462236105;48.2128191831801;0,16.416138513957;48.2125695959369;0,16.4160653583957;48.2126198336258;0,16.4159898010102;48.2125725981893;0,16.4154315770419;48.2129737991747;0,16.4155129388357;48.2130273393412;0,16.4154375816023;48.2130786778559;0,16.4158462920158;48.2133270641981;0,16.4159215491733;48.2132757256834;0,16.4159792930295;48.213315255339;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4143812793459;48.2126051225894;0,16.4144000936353;48.2125746997659;0,16.4144548352112;48.2124992431575;0,16.4144718481324;48.2124724230367;0,16.4144752507167;48.2124333937565;0,16.4144618405317;48.2124097760383;0,16.4144287153733;48.2123789529144;0,16.4143639661966;48.2123259131234;0,16.414313928193;48.212285382717;0,16.4142884088112;48.2122637665003;0,16.4142707954339;48.2122389478811;0,16.4142752988542;48.2122234362441;0,16.41429921702;48.2122175318145;0,16.4143534582159;48.21221172746;0,16.4144197085327;48.2122114272348;0,16.4144810551251;48.2122190329407;0,16.4145407004254;48.2122313421752;0,16.4146013464858;48.2122550599685;0,16.4146481820572;48.2122808793385;0,16.4146937166405;48.2123179071172;0,16.4147233391386;48.2123548348207;0,16.4147429540361;48.2123981673293;0,16.4147485582925;48.2124438015646;0,16.4147404521359;48.2124880347488;0,16.4147195362504;48.2125353702604;0,16.414687311776;48.2125728984145;0,16.4146518848695;48.2126037215383;0,16.4145937407093;48.2126371466142;0,16.4145328944969;48.2126595634316;0,16.4144707472964;48.2126735739424;0,16.4144146046563;48.2126792782218;0,16.414368769845;48.212679478372;0,16.4143515567717;48.2126721728913;0,16.4143518569998;48.2126568614045;0,16.4143812793459;48.2126051225894;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4153547186683;48.212101845025;0,16.4153999530236;48.2120378970505;0,16.4154494906471;48.2119725480249;0,16.415461299616;48.2119474291805;0,16.4154574967277;48.211917106432;0,16.4154455876829;48.2118930884134;0,16.4154126626765;48.2118618649893;0,16.4153470128157;48.2118090253484;0,16.4152844653112;48.2117570863832;0,16.4152603469935;48.2117338689652;0,16.4152565441052;48.2117187576285;0,16.4152657510979;48.2117088501959;0,16.4152979755722;48.2117016447903;0,16.4153543183643;48.2116963408112;0,16.4154237711133;48.2116976417872;0,16.4154728083568;48.2117049472678;0,16.4155234468165;48.2117159555264;0,16.4155674802597;48.2117315672384;0,16.4156166175792;48.2117565860078;0,16.4156603507944;48.2117875092067;0,16.4156951772449;48.2118215347331;0,16.4157219976149;48.2118662682927;0,16.4157355078758;48.2119199085342;0,16.4157289028594;48.2119779520791;0,16.4157063857577;48.2120226856387;0,16.4156702583191;48.2120648172463;0,16.4156181187193;48.2121056478779;0,16.4155560715949;48.2121335688245;0,16.4154939243944;48.2121524830142;0,16.4154455876829;48.2121613896961;0,16.415406457964;48.212165192549;0,16.4153477133478;48.212165192549;0,16.4153355040749;48.2121559856419;0,16.4153355040749;48.2121398735544;0,16.4153547186683;48.212101845025;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4150520888224;48.2126920878317;0,16.4149649226201;48.2126195334006;0,16.4156930756488;48.21223104195;0,16.4157802418511;48.2123035963811;0,16.4150520888224;48.2126920878317;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4150224663243;48.21230870021;0,16.4149513122831;48.2122913872216;0,16.4148915669068;48.2122654677766;0,16.4148419292072;48.2122345445777;0,16.4148061019966;48.2122002188261;0,16.4147926918117;48.2121823053872;0,16.4147712755461;48.2121465785846;0,16.4147631693895;48.2121179571124;0,16.4147549631569;48.2120808292587;0,16.4147631693895;48.2120428007293;0,16.4147765795745;48.2119998685211;0,16.4148039003245;48.2119640416433;0,16.4148399276871;48.2119314171681;0,16.4148796578619;48.2119035962966;0,16.4149295957896;48.2118792780527;0,16.414977932501;48.2118620651394;0,16.4150284708847;48.2118506565806;0,16.4150909183132;48.211844652076;0,16.4151132352628;48.2118536588329;0,16.4151148364789;48.2118710718964;0,16.4150824118526;48.2119527331596;0,16.4150347756732;48.2120371965249;0,16.4150288711887;48.21206962085;0,16.415033174457;48.2121033461511;0,16.4150664997675;48.2121357704762;0,16.4151126348068;48.2121641917982;0,16.415171179271;48.2122002188261;0,16.4152088078497;48.2122252375955;0,16.4152383302719;48.2122464535119;0,16.4152716555823;48.2122786776868;0,16.4152624485896;48.212293188573;0,16.4152034037454;48.2123074993091;0,16.4151309487161;48.2123129033633;0,16.4150772079002;48.2123129033633;0,16.4150224663243;48.21230870021;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4140717442555;48.2128231861832;0,16.4140081959909;48.2128122779997;0,16.4139602595835;48.2127961659123;0,16.4139146249242;48.2127782524734;0,16.4138675892007;48.2127496310013;0,16.4138315618381;48.2127171066011;0,16.41380143896;48.2126738741676;0,16.4137854267988;48.2126274393317;0,16.4137788217823;48.2125778020933;0,16.4137970356156;48.2125226607256;0,16.4138237559096;48.2124809294183;0,16.4138560804599;48.2124493056939;0,16.4138927082786;48.2124234863239;0,16.4139464490945;48.2123948648517;0,16.4139973877821;48.2123751500615;0,16.4140700429634;48.2123611395506;0,16.4141234835513;48.2123587377488;0,16.4141393956364;48.212365442779;0,16.4141395957884;48.2123883599717;0,16.4141234835513;48.2124270890267;0,16.4141046692619;48.2124711220607;0,16.4140820520843;48.2125134538185;0,16.4140553317903;48.2125586877535;0,16.4140515289021;48.2125912121537;0,16.4140612362748;48.2126169314486;0,16.4140880566447;48.2126473542721;0,16.4141314896318;48.2126741743929;0,16.4142116505136;48.2127259132079;0,16.4142524815246;48.2127509319773;0,16.4142908106354;48.2127812547257;0,16.4142941131436;48.2127992682397;0,16.4142776006024;48.2128071741708;0,16.4142336672352;48.2128205842312;0,16.4141761235311;48.2128262885106;0,16.4141235836273;48.2128276895617;0,16.4140717442555;48.2128231861832;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4168756738263;48.212661464858;0,16.4163177500859;48.2123258130483;0,16.4165073941197;48.2121841067386;0,16.4170636165679;48.212525763053;0,16.4168756738263;48.212661464858;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4226141321573;48.2106060228425;0,16.422527566411;48.2106588624833;0,16.4224474055292;48.2107045967937;0,16.4223713477637;48.2107362205182;0,16.4222863832336;48.2107705462698;0,16.4221932124708;48.2107971662404;0,16.4221228590378;48.2108118772768;0,16.4220534062887;48.210821184259;0,16.4219790498154;48.2108254874873;0,16.4219111982825;48.2108260879378;0,16.42184985169;48.2108200834331;0,16.4217975119382;48.2108102760755;0,16.4217549796352;48.2107988675167;0,16.4217068430757;48.2107797531769;0,16.4216478983074;48.210747629077;0,16.4216078679045;48.2107155049772;0,16.421572741226;48.2106789775739;0,16.4215564288368;48.2106522575282;0,16.4215376145474;48.2106185322271;0,16.4215007865768;48.2105389725406;0,16.4214876766198;48.210480128395;0,16.4214754673469;48.210407674039;0,16.4214746667389;48.2103309164546;0,16.4215015871848;48.2103325176558;0,16.4215007865768;48.2103135033911;0,16.4214452443928;48.2103102009135;0,16.4214680617224;48.2101696955048;0,16.4215343120392;48.2101723975319;0,16.4215506244284;48.2101211590923;0,16.4215800467745;48.210080828836;0,16.4216045653963;48.2100553096913;0,16.4217918076058;48.2099245115651;0,16.4218710678036;48.2098618645666;0,16.4218228311681;48.2098335433197;0,16.4218874802687;48.2097894102105;0,16.4219250087715;48.2098123274033;0,16.4231439345396;48.2086320419399;0,16.4234964022371;48.2088464027558;0,16.4235544463213;48.2088187820344;0,16.4236445147278;48.2088190822597;0,16.4237151683889;48.2088513064346;0,16.4237512958275;48.2089068481026;0,16.4237448909631;48.2089479789594;0,16.4237071623083;48.2089876086901;0,16.4238043361114;48.2090465529107;0,16.4238857979813;48.2090988921762;0,16.4239545501982;48.2090732729564;0,16.4240305078877;48.2090704708542;0,16.4241162730259;48.2090981916506;0,16.4241505990964;48.2091423247598;0,16.4241524004645;48.209189159896;0,16.4241095679334;48.2092328927049;0,16.424130984199;48.2092480040416;0,16.4230343513117;48.2100366957269;0,16.4230171382384;48.2101081493322;0,16.4230057295736;48.2101532831921;0,16.4229812109518;48.2102148293647;0,16.4229362768246;48.2102911866488;0,16.4228970470298;48.2103440262897;0,16.4228504116104;48.2104027703602;0,16.4227989725427;48.2104589124786;0,16.4227057017039;48.2105400733664;0,16.4226141321573;48.2106060228425;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4128031807878;48.2100401983546;0,16.4127001025003;48.2099543339382;0,16.4131810677911;48.2096968407639;0,16.4132841460786;48.2097884094598;0,16.4128031807878;48.2100401983546;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.411851758187;48.2105437761443;0,16.4117471787594;48.2104540087998;0,16.4125942220847;48.2100154798105;0,16.4126988015122;48.2101051470799;0,16.411851758187;48.2105437761443;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4197459537899;48.2112494055153;0,16.4210821686385;48.2103002934809;0,16.4211436153069;48.2102551596209;0,16.4211930528545;48.2102189324429;0,16.4212095653957;48.2102070235087;0,16.4212240764168;48.2101965156256;0,16.4212456928343;48.2101809039135;0,16.4212598035513;48.2101706962556;0,16.4211762400853;48.2101201583415;0,16.4211611286082;48.2101110515094;0,16.4211368101384;48.2100959401727;0,16.4210574498647;48.2100465030845;0,16.4210441397557;48.210038196853;0,16.4210180199179;48.2100221848407;0,16.4209316543236;48.2099691450496;0,16.4209176436826;48.2099789524072;0,16.420895827113;48.2099940637439;0,16.4208805154839;48.2100047717772;0,16.4208609005865;48.2100184820628;0,16.4208205699556;48.2100483044359;0,16.420757421995;48.210095039497;0,16.4204368785438;48.2103256124755;0,16.4200943183711;48.2105675940127;0,16.4194242094266;48.2110465533334;0,16.4193166277188;48.2111252123442;0,16.4192713933635;48.2111582371198;0,16.4192271597683;48.2111906614449;0,16.4191271838371;48.2112637162514;0,16.4191879299735;48.2113001435796;0,16.4192541802903;48.211340774061;0,16.4193341410201;48.2113933134767;0,16.4193834784917;48.2114261381021;0,16.4194397212077;48.2114646670069;0,16.4195503051957;48.2113869086717;0,16.4195949390949;48.2113554850974;0,16.4196358701819;48.2113267635502;0,16.4197459537899;48.2112494055153;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4132231997901;48.2132400989558;0,16.4132863477507;48.2132681199775;0,16.4133566011078;48.2132821304883;0,16.41344176579;48.2132849325905;0,16.4139040168674;48.2130196335602;0,16.4137369900113;48.2129346698194;0,16.4134477703504;48.2130876846129;0,16.4133986330308;48.2130911872406;0,16.4133463933551;48.213078777931;0,16.4130912996126;48.2128990430919;0,16.4129053583912;48.2129990180942;0,16.4132231997901;48.2132400989558;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.409874556512;48.2129696960966;0,16.4096720026733;48.2127640418124;0,16.4107349099462;48.2123020952549;0,16.4108341853454;48.2124045721342;0,16.410871113392;48.2123886601969;0,16.4108952317098;48.2124136789663;0,16.4108583036631;48.2124294908285;0,16.4109361627967;48.2125099511908;0,16.4108418911979;48.2125492806962;0,16.4109867011804;48.2126325431607;0,16.4110286330274;48.2126567613294;0,16.4109482719936;48.2127215099045;0,16.4107292056138;48.21259941831;0,16.4106387369032;48.2126379472148;0,16.4106692600854;48.2126689704888;0,16.4107638319123;48.2126210345267;0,16.4109072408307;48.2127432261963;0,16.4104116644428;48.2130036215478;0,16.4102667543843;48.212881129653;0,16.410400656082;48.2128105767234;0,16.4103532200546;48.2127629409866;0,16.4102627513441;48.2128020703418;0,16.4102359309741;48.2130149300315;0,16.4101053317847;48.2130076245509;0,16.410123645694;48.2128621153883;0,16.409971029783;48.2129280648643;0,16.409874556512;48.2129696960966;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
